n,Karatsuba
1866,6982303
1867,7007559
1868,6990462
1869,7001081
1870,6991774
1871,6976030
1872,7019736
1873,7014775
1874,7013627
1875,7020679
1876,7062417
1877,7044459
1878,7049994
1879,7057169
1880,7063278
1881,7076726
1882,7096242
1883,7071314
1884,7074676
1885,7093823
1886,7086484
1887,7114815
1888,7137570
1889,7123384
1890,7110141
1891,7126623
1892,7156799
1893,7117849
1894,7137611
1895,7157086
1896,7164343
1897,7182178
1898,7165573
1899,7179021
1900,7194519
1901,7190296
1902,7212067
1903,7185786
1904,7231460
1905,7218504
1906,7236462
1907,7257782
1908,7247450
1909,7270861
1910,7271107
1911,7273690
1912,7269590
1913,7253190
1914,7291525
1915,7277339
1916,7330680
1917,7291033
1918,7302062
1919,7318585
1920,7305342
1921,7287876
1922,7344743
1923,7321578
1924,7349950
1925,7353189
1926,7355239
1927,7358601
1928,7373361
1929,7359749
1930,7365161
1931,7396567
1932,7380208
1933,7385907
1934,7393615
1935,7389433
1936,7421167
1937,7373402
1938,7445644
1939,7427768
1940,7455853
1941,7414361
1942,7449047
1943,7449785
1944,7457821
1945,7471392
1946,7486357
1947,7468809
1948,7506242
1949,7494434
1950,7484717
1951,7484963
1952,7497755
1953,7517722
1954,7508210
1955,7520920
1956,7506652
1957,7529858
1958,7527070
1959,7534204
1960,7547611
1961,7548103
1962,7539411
1963,7551752
1964,7555524
1965,7578443
1966,7564708
1967,7565200
1968,7582543
1969,7588119
1970,7598287
1971,7599558
1972,7633547
1973,7619361
1974,7619730
1975,7639943
1976,7630595
1977,7650849
1978,7671513
1979,7646298
1980,7669586
1981,7666634
1982,7657368
1983,7659787
1984,7668438
1985,7701976
1986,7691890
1987,7683403
1988,7710463
1989,7735760
1990,7711939
1991,7707224
1992,7750520
1993,7727109
1994,7731168
1995,7751627
1996,7741869
1997,7754251
1998,7733341
1999,7790659
2000,7760729
2001,7781475
2002,7794349
2003,7786764
2004,7788076
2005,7783156
2006,7802426
2007,7816899
2008,7818949
2009,7829322
2010,7828912
2011,7841786
2012,7815218
2013,7833627
2014,7854414
2015,7867944
2016,7860646
2017,7871306
2018,7869338
2019,7881433
2020,7867411
2021,7862409
2022,7911568
2023,7890002
2024,7894471
2025,7905992
2026,7924401
2027,7916529
2028,7923909
2029,7958759
2030,7947484
2031,7955520
2032,7946910
2033,7953306
2034,7950969
2035,7972207
2036,7989673
