n,Simple_Multiplication
1875,73903135
1876,73981943
1877,74060799
1878,74139691
1879,74218631
1880,74297610
1881,74376631
1882,74455691
1883,74534799
1884,74613946
1885,74693135
1886,74772366
1887,74851639
1888,74930954
1889,75010311
1890,75089710
1891,75169151
1892,75248631
1893,75328156
1894,75407726
1895,75487335
1896,75566983
1897,75646679
1898,75726414
1899,75806188
1900,75886010
1901,75965871
1902,76045774
1903,76125719
1904,76205706
1905,76285735
1906,76365806
1907,76445919
1908,76526074
1909,76606271
1910,76686510
1911,76766791
1912,76847114
1913,76927476
1914,77007883
1915,77088335
1916,77168823
1917,77249359
1918,77329931
1919,77410551
1920,77491210
1921,77571911
1922,77652654
1923,77733439
1924,77814266
1925,77895132
1926,77976046
1927,78056999
1928,78137994
1929,78219031
1930,78300107
1931,78381231
1932,78462394
1933,78543596
1934,78624846
1935,78706135
1936,78787466
1937,78868839
1938,78950254
1939,79031711
1940,79113210
1941,79194748
1942,79276334
1943,79357959
1944,79439626
1945,79521332
1946,79603083
1947,79684876
1948,79766714
1949,79848591
1950,79930510
1951,80012471
1952,80094474
1953,80176516
1954,80258606
1955,80340735
1956,80422906
1957,80505119
1958,80587371
1959,80669671
1960,80752010
1961,80834391
1962,80916814
1963,80999276
1964,81081786
1965,81164335
1966,81246926
1967,81329559
1968,81412234
1969,81494951
1970,81577710
1971,81660511
1972,81743354
1973,81826239
1974,81909166
1975,81992132
1976,82075146
1977,82158199
1978,82241294
1979,82324431
1980,82407610
1981,82490831
1982,82574094
1983,82657399
1984,82740746
1985,82824132
1986,82907566
1987,82991039
1988,83074554
1989,83158108
1990,83241710
1991,83325351
1992,83409034
1993,83492759
1994,83576526
1995,83660332
1996,83744186
1997,83828076
1998,83912014
1999,83995991
2000,84080010
2001,84164071
2002,84248174
2003,84332316
2004,84416506
2005,84500735
2006,84585006
2007,84669319
2008,84753674
2009,84838071
2010,84922510
2011,85006991
2012,85091514
2013,85176079
2014,85260683
2015,85345332
2016,85430023
2017,85514759
2018,85599531
2019,85684351
2020,85769210
2021,85854108
2022,85939054
2023,86024039
2024,86109066
2025,86194135
2026,86279246
2027,86364399
2028,86449591
2029,86534831
2030,86620110
2031,86705428
2032,86790794
2033,86876199
2034,86961643
2035,87047135
2036,87132666
2037,87218239
2038,87303854
2039,87389511
2040,87475210
2041,87560948
2042,87646734
2043,87732559
2044,87818426
2045,87904335
2046,87990286
2047,88076279
2048,88162314
2049,88248391
2050,88334510
2051,88420671
2052,88506871
2053,88593119
2054,88679406
2055,88765735
2056,88852106
2057,88938519
2058,89024974
2059,89111471
2060,89198010
2061,89284591
2062,89371214
2063,89457879
2064,89544583
2065,89631335
2066,89718126
2067,89804959
2068,89891834
2069,89978751
2070,90065710
2071,90152711
2072,90239754
2073,90326839
2074,90413963
2075,90501132
2076,90588346
2077,90675599
2078,90762894
2079,90850231
2080,90937610
2081,91025028
2082,91112494
2083,91199999
2084,91287546
2085,91375135
2086,91462766
2087,91550439
2088,91638154
2089,91725911
2090,91813710
2091,91901551
2092,91989431
2093,92077359
2094,92165326
2095,92253335
2096,92341386
2097,92429479
2098,92517614
2099,92605791
2100,92694010
2101,92782271
2102,92870571
2103,92958919
2104,93047306
2105,93135735
2106,93224206
2107,93312716
2108,93401274
2109,93489868
2110,93578510
2111,93667191
2112,93755914
2113,93844679
2114,93933486
2115,94022335
2116,94111226
2117,94200159
2118,94289134
2119,94378148
2120,94467210
2121,94556308
2122,94645454
2123,94734639
2124,94823866
2125,94913135
2126,95002446
2127,95091799
2128,95181194
2129,95270631
2130,95360110
2131,95449631
2132,95539194
2133,95628799
2134,95718446
2135,95808132
2136,95897863
2137,95987636
2138,96077454
2139,96167311
2140,96257210
2141,96347151
2142,96437131
2143,96527156
2144,96617226
2145,96707335
2146,96797486
2147,96887676
2148,96977911
2149,97068191
2150,97158510
2151,97248871
2152,97339274
2153,97429719
2154,97520206
2155,97610735
2156,97701306
2157,97791919
2158,97882574
2159,97973271
2160,98064010
2161,98154791
2162,98245614
2163,98336479
2164,98427386
2165,98518335
