n,Simple_Multiplication,Karatsuba
1272,21091042,3706321
1273,21124172,3707633
1274,21157328,3721245
1275,21190510,3709273
1276,21223715,3721983
1277,21256952,3732561
1278,21290212,3730798
1279,21323498,3736497
1280,21356810,3751626
1281,21390148,3741376
1282,21423512,3754168
1283,21456902,3753143
1284,21490315,3751298
1285,21523760,3760318
1286,21557228,3766632
1287,21590722,3756136
1288,21624242,3766919
1289,21657788,3777538
1290,21691357,3762163
1291,21724958,3784385
1292,21758582,3789715
1293,21792232,3797997
1294,21825908,3794184
1295,21859607,3804106
1296,21893338,3804721
1297,21927092,3800949
1298,21960872,3821941
1299,21994678,3816242
1300,22028510,3816406
1301,22062368,3832806
1302,22096252,3814356
1303,22130162,3837439
1304,22164098,3830715
1305,22198060,3828419
1306,22232045,3835717
1307,22266062,3847976
1308,22300102,3845803
1309,22334168,3849821
1310,22368260,3860317
1311,22402378,3856135
1312,22436522,3874913
1313,22470692,3869214
1314,22504885,3860317
1315,22539110,3871428
1316,22573358,3877004
1317,22607632,3877906
1318,22641932,3872166
1319,22676258,3877004
1320,22710610,3913412
1321,22744988,3899308
1322,22779392,3893650
1323,22813822,3894880
1324,22848275,3895946
1325,22882760,3901727
1326,22917265,3914519
1327,22951802,3899923
1328,22986362,3927967
1329,23020948,3940841
1330,23055560,3940841
1331,23090198,3933502
1332,23124862,3949574
1333,23159552,3951747
1334,23194268,3956339
1335,23229010,3940144
1336,23263778,3962079
1337,23298572,3952444
1338,23333389,3968434
1339,23368238,3956831
1340,23403110,3972329
1341,23438008,3976511
1342,23472932,3977782
1343,23507882,3976757
1344,23542858,3990164
1345,23577860,3990246
1346,23612888,3998938
1347,23647942,4014108
1348,23683022,4010541
1349,23718125,4010869
1350,23753260,4003571
1351,23788418,4009844
1352,23823602,4034936
1353,23858812,4028007
1354,23894048,4042726
1355,23929310,4037519
1356,23964598,4018331
1357,23999912,4058265
1358,24035252,4038626
1359,24070618,4044981
1360,24106007,4058593
1361,24141428,4072041
1362,24176872,4055313
1363,24212342,4068023
1364,24247838,4063349
1365,24283360,4072246
1366,24318908,4085489
1367,24354482,4083808
1368,24390082,4090122
1369,24425708,4104226
1370,24461360,4093730
1371,24497038,4105538
1372,24532742,4117305
1373,24568472,4128580
1374,24604228,4119027
1375,24640010,4129728
1376,24675818,4127391
1377,24711649,4134525
1378,24747509,4150802
1379,24783398,4137928
1380,24819310,4164086
1381,24855248,4158182
1382,24891212,4167448
1383,24927202,4159617
1384,24963215,4175402
1385,24999260,4180199
1386,25035328,4186144
1387,25071422,4182946
1388,25107539,4212671
1389,25143688,4201970
1390,25179860,4200002
1391,25216058,4221445
1392,25252282,4201806
1393,25288529,4233581
1394,25324805,4233991
1395,25361110,4232474
1396,25397438,4223618
1397,25433792,4247398
1398,25470169,4251621
1399,25506578,4250473
1400,25543010,4260231
1401,25579468,4253753
1402,25615952,4284421
1403,25652462,4288398
1404,25688998,4289054
1405,25725560,4289013
1406,25762148,4315335
1407,25798762,4285979
1408,25835399,4288890
1409,25872068,4325011
1410,25908757,4329808
1411,25945475,4323207
1412,25982222,4342764
1413,26018992,4343297
1414,26055788,4349447
1415,26092610,4342641
1416,26129458,4364371
1417,26166332,4355269
1418,26203232,4372120
1419,26240155,4358918
1420,26277110,4376917
1421,26314088,4371095
1422,26351092,4380935
1423,26388122,4394178
1424,26425178,4386224
1425,26462260,4409430
1426,26499368,4405002
1427,26536499,4401804
1428,26573662,4433333
1429,26610848,4418573
1430,26648057,4409799
1431,26685298,4421402
